Date : 2020-11-13 00:50:39
Directory : /Users/ricked-corp/Documents/Projects/ShishaOase
Total : 62 files,  1994 codes, 127 comments, 252 blanks, all 2373 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| Dart        |         32 |      1,355 |         29 |        173 |      1,557 |
| XML         |         13 |        248 |         44 |         14 |        306 |
| JSON        |          4 |        208 |          0 |          3 |        211 |
| Groovy      |          4 |         88 |          3 |         24 |        115 |
| Django HTML |          1 |         30 |          0 |          4 |         34 |
| YAML        |          1 |         26 |         50 |         17 |         93 |
| Markdown    |          2 |         13 |          0 |          9 |         22 |
| Swift       |          1 |         12 |          0 |          2 |         14 |
| Properties  |          2 |          9 |          1 |          2 |         12 |
| kotlin      |          1 |          4 |          0 |          3 |          7 |
| C++         |          1 |          1 |          0 |          1 |          2 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |         62 |      1,994 |        127 |        252 |      2,373 |
| android                                                                                                                         |         14 |        203 |         46 |         37 |        286 |
| android/app                                                                                                                     |          9 |        157 |         45 |         25 |        227 |
| android/app/src                                                                                                                 |          7 |         66 |         42 |         11 |        119 |
| android/app/src/debug                                                                                                           |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                            |          5 |         58 |         36 |          9 |        103 |
| android/app/src/main/kotlin                                                                                                     |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/kotlin/com                                                                                                 |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/kotlin/com/example                                                                                         |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/kotlin/com/example/ShishaOase                                                                              |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/res                                                                                                        |          3 |         22 |         25 |          4 |         51 |
| android/app/src/main/res/drawable                                                                                               |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                         |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                                  |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                          |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                             |         12 |        347 |          2 |         13 |        362 |
| ios/Flutter                                                                                                                     |          1 |         26 |          0 |          1 |         27 |
